iter	Passed	Remaining
412	3882	5518
413	3890	5507
414	3898	5495
415	3905	5483
416	3913	5471
417	3920	5458
418	3928	5448
419	3936	5436
420	3944	5424
421	3952	5413
422	3959	5400
423	3966	5389
424	3974	5376
425	3982	5366
426	3992	5357
427	3999	5344
428	4009	5336
429	4019	5327
430	4029	5319
431	4039	5311
432	4048	5301
433	4061	5296
434	4069	5286
435	4078	5275
436	4088	5266
437	4096	5255
438	4105	5246
439	4114	5237
440	4124	5227
441	4133	5217
442	4142	5208
443	4151	5198
444	4159	5188
445	4168	5177
446	4177	5167
447	4187	5159
448	4196	5149
449	4205	5139
450	4213	5128
451	4221	5117
452	4229	5106
453	4236	5095
454	4243	5083
455	4252	5072
456	4259	5061
457	4267	5050
458	4275	5039
459	4283	5028
460	4290	5016
461	4298	5005
462	4307	4995
463	4315	4985
464	4323	4974
465	4331	4963
466	4339	4952
467	4347	4942
468	4355	4930
469	4363	4920
470	4371	4910
471	4380	4899
472	4388	4889
473	4396	4878
474	4403	4867
475	4412	4857
476	4419	4845
477	4428	4836
478	4437	4826
479	4445	4816
480	4454	4806
481	4462	4795
482	4470	4785
483	4478	4774
484	4486	4763
485	4494	4753
486	4501	4742
487	4509	4730
488	4519	4722
489	4527	4711
490	4537	4703
491	4544	4692
492	4552	4681
493	4560	4671
494	4568	4660
495	4576	4650
496	4585	4640
497	4593	4630
498	4601	4620
499	4610	4610
500	4619	4600
501	4627	4590
502	4635	4579
503	4643	4569
504	4652	4560
505	4661	4550
506	4669	4540
507	4677	4530
508	4685	4519
509	4693	4509
510	4702	4499
511	4709	4489
512	4719	4480
513	4728	4471
514	4738	4462
515	4747	4452
516	4756	4443
517	4765	4434
518	4774	4425
519	4784	4416
520	4793	4406
521	4804	4399
522	4814	4390
523	4826	4384
524	4837	4376
525	4847	4368
526	4856	4358
527	4866	4350
528	4875	4341
529	4885	4332
530	4893	4321
531	4902	4312
532	4910	4302
533	4919	4292
534	4928	4283
535	4937	4274
536	4946	4264
537	4954	4254
538	4964	4246
539	4973	4236
540	4983	4228
541	4993	4219
542	5003	4210
543	5014	4203
544	5023	4194
545	5034	4186
546	5044	4177
547	5053	4168
548	5062	4159
549	5072	4149
550	5083	4142
551	5092	4133
552	5103	4125
553	5112	4115
554	5121	4106
555	5130	4097
556	5139	4087
557	5147	4077
558	5156	4067
559	5164	4057
560	5172	4047
561	5179	4036
562	5187	4026
563	5196	4017
564	5204	4007
565	5213	3997
566	5220	3986
567	5228	3976
568	5237	3967
569	5246	3957
570	5253	3947
571	5262	3937
572	5270	3927
573	5278	3917
574	5286	3907
575	5294	3897
576	5303	3887
577	5312	3878
578	5323	3870
579	5335	3863
580	5345	3854
581	5356	3846
582	5367	3839
583	5376	3830
584	5388	3822
585	5398	3814
586	5410	3806
587	5420	3797
588	5431	3789
589	5444	3783
590	5457	3776
591	5468	3768
592	5479	3760
593	5490	3752
594	5500	3744
595	5514	3737
596	5526	3730
597	5536	3722
598	5549	3714
599	5561	3707
600	5571	3699
601	5581	3690
602	5592	3682
603	5601	3672
604	5611	3663
605	5620	3654
606	5630	3645
607	5639	3636
608	5648	3626
609	5657	3616
610	5664	3606
611	5673	3596
612	5681	3586
613	5692	3578
614	5701	3569
615	5712	3561
616	5721	3551
617	5730	3542
618	5741	3533
619	5750	3524
620	5760	3515
621	5769	3506
622	5777	3496
623	5786	3486
624	5796	3477
625	5808	3470
626	5818	3461
627	5829	3452
628	5841	3445
629	5851	3436
630	5863	3428
631	5873	3420
632	5883	3410
633	5891	3401
634	5899	3391
635	5911	3383
636	5920	3373
637	5928	3364
638	5938	3354
639	5946	3344
640	5962	3339
641	5975	3332
642	5986	3323
643	5996	3314
644	6006	3306
645	6017	3297
646	6027	3288
647	6037	3279
648	6044	3269
649	6053	3259
650	6060	3249
651	6069	3239
652	6077	3229
653	6086	3220
654	6094	3209
655	6102	3200
656	6110	3190
657	6120	3181
658	6129	3171
659	6138	3162
660	6146	3152
661	6154	3142
662	6162	3132
663	6173	3123
664	6182	3114
665	6200	3109
666	6212	3101
667	6225	3093
668	6237	3086
669	6253	3080
670	6265	3071
671	6275	3063
672	6286	3054
673	6302	3048
674	6314	3040
675	6325	3031
676	6339	3024
677	6350	3016
678	6366	3009
679	6377	3001
680	6391	2993
681	6403	2985
682	6417	2978
683	6429	2970
684	6446	2964
685	6459	2956
686	6473	2949
687	6483	2940
688	6492	2930
689	6502	2921
690	6511	2911
691	6520	2902
692	6527	2891
693	6538	2882
694	6547	2873
695	6555	2863
696	6564	2853
697	6574	2844
698	6584	2835
699	6593	2825
700	6603	2816
701	6614	2807
702	6625	2799
703	6638	2791
704	6647	2781
705	6658	2772
706	6669	2764
707	6679	2754
708	6688	2745
709	6702	2737
710	6712	2728
711	6721	2718
712	6730	2709
713	6740	2699
714	6748	2690
715	6757	2680
716	6766	2670
717	6776	2661
718	6784	2651
719	6792	2641
720	6800	2631
721	6807	2621
722	6819	2612
723	6828	2603
724	6837	2593
725	6848	2584
726	6859	2576
727	6869	2566
728	6881	2558
729	6890	2548
730	6904	2540
731	6918	2533
732	6928	2523
733	6937	2514
734	6946	2504
735	6954	2494
736	6962	2484
737	6970	2474
738	6978	2464
739	6986	2454
740	6994	2444
741	7002	2434
742	7012	2425
743	7021	2415
744	7032	2407
745	7041	2397
746	7050	2387
747	7059	2378
748	7068	2368
749	7077	2359
750	7087	2350
751	7097	2340
752	7105	2330
753	7117	2322
754	7128	2313
755	7136	2303
756	7147	2294
757	7156	2284
758	7165	2275
759	7174	2265
760	7183	2256
761	7192	2246
762	7200	2236
763	7212	2227
764	7221	2218
765	7229	2208
766	7238	2198
767	7247	2189
768	7256	2179
769	7264	2169
770	7273	2160
771	7282	2150
772	7292	2141
773	7301	2131
774	7310	2122
775	7323	2114
776	7332	2104
777	7341	2095
778	7350	2085
779	7358	2075
780	7367	2066
781	7377	2056
782	7386	2047
783	7395	2037
784	7404	2027
785	7413	2018
786	7423	2009
787	7432	1999
788	7440	1989
789	7449	1980
790	7462	1971
791	7471	1962
792	7480	1952
793	7490	1943
794	7499	1933
795	7510	1924
796	7520	1915
797	7531	1906
798	7544	1897
799	7557	1889
800	7567	1880
801	7579	1871
802	7589	1861
803	7599	1852
804	7609	1843
805	7622	1834
806	7631	1825
807	7642	1816
808	7651	1806
809	7660	1796
810	7668	1787
811	7676	1777
812	7684	1767
813	7692	1757
814	7705	1749
815	7713	1739
816	7722	1729
817	7730	1719
818	7737	1710
819	7746	1700
820	7754	1690
821	7763	1681
822	7772	1671
823	7780	1661
824	7794	1653
825	7804	1644
826	7812	1634
827	7824	1625
828	7834	1616
829	7844	1606
830	7855	1597
831	7863	1587
832	7872	1578
833	7881	1568
834	7890	1559
835	7897	1549
836	7906	1539
837	7915	1530
838	7924	1520
839	7932	1511
840	7941	1501
841	7949	1491
842	7958	1482
843	7966	1472
844	7974	1462
845	7983	1453
846	7991	1443
847	7999	1433
848	8007	1424
849	8016	1414
850	8024	1404
851	8033	1395
852	8041	1385
853	8049	1376
854	8058	1366
855	8067	1357
856	8075	1347
857	8084	1338
858	8101	1329
859	8123	1322
860	8132	1312
861	8141	1303
862	8150	1293
863	8159	1284
864	8168	1274
865	8179	1265
866	8188	1256
867	8198	1246
868	8207	1237
869	8216	1227
870	8225	1218
871	8232	1208
872	8241	1198
873	8249	1189
874	8257	1179
875	8264	1169
876	8272	1160
877	8280	1150
878	8288	1140
879	8296	1131
880	8303	1121
881	8312	1112
882	8321	1102
883	8328	1092
884	8336	1083
885	8344	1073
886	8354	1064
887	8362	1054
888	8369	1045
889	8377	1035
890	8385	1025
891	8394	1016
892	8403	1006
893	8411	997
894	8418	987
895	8426	978
896	8434	968
897	8442	958
898	8450	949
899	8458	939
900	8466	930
901	8474	920
902	8481	911
903	8489	901
904	8497	891
905	8505	882
906	8513	872
907	8520	863
908	8528	853
909	8536	844
910	8546	834
911	8555	825
912	8564	816
913	8573	806
914	8583	797
915	8593	788
916	8602	778
917	8611	769
918	8621	759
919	8629	750
920	8639	741
921	8648	731
922	8658	722
923	8667	712
924	8677	703
925	8687	694
926	8697	684
927	8707	675
928	8718	666
929	8730	657
930	8740	647
931	8751	638
932	8762	629
933	8772	619
934	8783	610
935	8796	601
936	8807	592
937	8819	582
938	8835	573
939	8846	564
940	8856	555
941	8866	545
942	8876	536
943	8887	527
944	8898	517
945	8907	508
946	8916	499
947	8925	489
948	8933	480
949	8942	470
950	8951	461
951	8960	451
952	8969	442
953	8977	432
954	8989	423
955	8999	414
956	9010	404
957	9018	395
958	9027	385
959	9034	376
960	9043	367
961	9053	357
962	9060	348
963	9069	338
964	9076	329
965	9084	319
966	9092	310
967	9100	300
968	9110	291
969	9123	282
970	9132	272
971	9142	263
972	9150	253
973	9161	244
974	9170	235
975	9180	225
976	9189	216
977	9198	206
978	9208	197
979	9217	188
980	9227	178
981	9238	169
982	9247	159
983	9256	150
984	9264	141
985	9275	131
986	9285	122
987	9293	112
988	9302	103
989	9310	94
990	9319	84
991	9327	75
992	9336	65
993	9344	56
994	9352	46
995	9360	37
996	9369	28
997	9378	18
998	9388	9
999	9397	0
